64,64,64,80,48,48,64,48,64,80,48,64,64,64,80,48,38,38,39,48,64,80,64,80,48,48,64,80,80,39,39,38,64,80,48,48,48,48,80,48,64,64,8,7,6,7,6,8,8,6
64,64,64,80,64,48,80,80,80,48,80,80,64,80,48,80,39,39,38,48,64,64,80,48,48,64,80,80,39,39,38,39,64,64,64,80,80,48,48,64,80,64,7,6,7,6,8,6,6,6
64,64,64,48,80,64,64,64,64,48,48,48,64,64,80,48,38,39,38,38,80,80,64,64,80,48,48,48,38,39,38,39,48,48,64,64,64,48,80,64,64,6,8,8,7,7,7,8,8,7
64,80,80,64,80,80,48,64,48,80,64,80,64,48,64,48,48,38,38,39,64,64,64,48,64,80,80,48,39,38,39,38,64,64,48,64,48,80,80,80,64,8,6,7,6,8,8,7,7,6
64,80,48,80,48,48,64,64,64,48,64,80,80,48,64,64,80,38,38,38,80,64,48,80,64,48,80,48,39,39,39,80,64,64,48,64,48,80,64,64,64,7,7,8,6,8,6,8,6,8
64,80,48,48,48,48,64,48,64,48,80,80,64,80,80,48,64,39,39,39,39,64,64,64,80,64,80,48,38,39,39,64,64,80,64,80,80,80,64,48,64,8,8,6,7,7,6,8,6,6
80,80,48,64,64,48,48,64,48,48,80,80,80,48,64,80,80,38,38,38,38,64,48,64,64,64,80,48,39,38,39,80,80,64,48,48,48,48,64,80,48,7,7,7,8,7,6,7,8,7
80,64,80,64,48,64,48,48,48,64,64,48,64,64,48,80,48,80,38,38,38,48,48,64,80,80,80,38,39,38,38,80,80,80,64,80,64,64,64,80,80,8,6,8,7,8,8,7,8,8
64,64,80,64,80,48,48,80,64,64,80,80,48,48,64,80,64,48,38,38,38,64,80,64,48,80,48,39,39,39,64,80,48,80,64,48,80,80,80,64,80,6,6,6,8,8,7,6,7,8
48,48,80,64,80,64,48,48,80,80,48,48,64,64,64,80,80,48,39,39,39,48,80,80,64,80,39,39,39,39,64,64,80,80,48,64,64,64,48,48,48,7,8,6,8,6,6,8,7,6
64,48,48,64,48,48,48,48,80,64,48,80,48,64,48,48,80,64,39,38,39,64,64,80,80,48,39,38,39,38,80,48,64,64,64,80,48,80,64,48,64,8,8,7,7,6,8,8,7,8
80,64,64,48,48,80,48,48,48,48,64,80,80,48,80,80,80,64,38,39,39,38,80,80,48,80,39,39,38,38,80,64,64,80,48,64,80,64,48,48,64,8,8,8,7,6,7,8,8,7
48,64,64,80,64,64,80,64,80,80,48,80,64,64,64,64,80,64,48,39,38,38,64,80,64,80,38,39,39,64,64,48,80,64,80,80,80,80,48,80,6,7,6,7,7,6,6,6,7,8
48,80,64,64,80,80,64,64,48,80,80,48,80,80,80,48,48,64,48,39,39,39,39,80,80,80,38,39,39,64,48,64,64,48,48,80,64,64,48,64,6,8,6,6,7,8,8,6,6,7
48,48,80,48,64,64,48,64,64,48,48,80,48,64,64,64,64,64,80,39,38,38,39,64,48,80,38,38,39,48,64,64,48,80,64,64,64,80,80,64,8,7,7,7,6,7,6,8,6,7
64,64,80,48,48,64,48,80,48,48,48,80,48,80,64,48,64,80,48,38,38,39,38,48,64,48,38,38,39,64,64,64,48,80,80,80,48,64,48,64,7,6,8,6,7,8,6,6,8,6
80,48,48,64,80,80,80,80,80,64,80,64,64,80,64,48,64,48,80,64,38,39,39,48,80,64,38,38,38,80,64,64,80,48,64,64,48,64,48,48,6,6,7,8,7,8,7,8,8,6
48,80,80,9,9,9,9,9,9,9,9,9,9,9,9,64,80,64,48,48,64,38,39,39,48,39,39,39,39,48,64,48,48,80,48,48,48,48,48,80,6,6,6,6,8,7,6,7,8,7
80,64,48,9,80,64,48,48,80,80,64,80,80,80,9,80,64,64,80,48,80,39,38,39,48,39,39,39,64,64,48,48,64,80,48,64,80,80,64,48,7,8,7,7,6,7,7,6,7,8
80,80,48,9,48,9,9,9,9,9,9,9,9,64,9,64,64,64,48,64,64,38,38,39,39,39,38,39,48,48,64,48,64,48,48,48,48,48,48,80,7,7,7,7,6,7,6,6,8,6
64,48,48,9,64,9,48,80,64,48,80,48,9,80,9,48,48,48,48,64,64,48,38,39,38,39,39,38,64,64,64,48,48,64,80,64,80,64,64,48,8,7,7,7,6,8,6,6,7,7
80,64,80,9,48,9,48,64,48,48,64,48,9,64,9,80,48,48,80,64,48,48,39,39,39,39,38,39,48,64,80,80,48,48,64,48,48,64,64,48,7,7,7,8,6,6,7,6,6,8
64,64,80,9,48,9,48,64,48,80,48,48,9,64,64,64,80,80,64,80,80,48,39,39,38,38,38,39,64,48,64,48,64,80,64,48,80,48,48,6,8,7,6,8,8,7,8,8,7,7
64,48,64,9,64,9,80,48,64,48,48,80,64,64,80,64,64,64,64,48,48,64,64,39,38,39,39,38,80,64,64,64,80,64,80,80,48,48,48,6,7,8,8,7,7,6,7,8,6,6
64,80,48,9,48,9,48,48,48,64,48,80,9,64,64,80,80,48,80,48,80,48,64,39,38,38,39,38,64,80,80,80,80,64,80,80,48,64,48,6,7,6,7,7,6,6,6,8,7,6
80,48,80,9,48,9,80,64,80,80,64,64,9,80,9,64,80,48,80,80,48,80,80,80,38,39,38,39,48,48,48,64,48,80,48,64,48,64,64,8,8,7,7,6,7,7,8,7,7,7
80,80,48,9,48,9,9,9,9,9,9,9,9,48,9,80,80,48,48,80,80,48,48,80,38,38,39,38,64,80,48,64,80,80,80,48,64,48,48,8,8,6,6,7,7,8,8,7,7,6
80,80,80,9,48,64,80,80,48,48,48,80,80,48,9,80,48,64,80,64,64,48,48,80,39,38,38,80,64,64,48,64,80,64,64,48,48,80,64,6,8,7,7,8,8,8,6,6,8,8
64,80,48,9,9,9,9,9,9,9,9,9,9,9,9,48,64,64,80,64,64,48,48,48,38,39,39,80,80,64,64,48,64,48,48,64,64,80,80,6,6,8,7,8,8,6,8,6,7,6
80,64,48,80,48,80,80,64,80,64,48,48,48,48,64,80,64,48,48,64,64,48,64,80,39,39,38,48,64,64,48,48,48,48,64,80,80,80,48,6,8,7,7,8,6,8,8,6,7,7
48,48,64,48,64,48,64,80,64,64,48,80,80,64,64,80,80,64,48,80,80,64,80,64,39,38,38,48,48,48,48,64,64,80,48,80,64,48,64,7,8,7,8,8,6,6,7,8,8,8
64,64,80,80,80,80,64,64,64,64,64,48,64,80,48,80,80,64,48,80,48,64,48,48,39,38,39,48,48,64,80,64,64,48,80,80,64,48,64,6,8,8,6,6,6,7,7,7,8,6
64,48,64,48,64,64,48,64,80,80,64,64,64,64,80,64,80,64,80,64,48,64,48,80,39,39,38,48,48,64,80,48,48,80,80,48,64,64,64,6,8,7,6,7,8,8,8,8,6,6
